Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Chapitre, Type, Conserver, Revoir,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Notes
1944,con,con,con,con,en,con,ø,con,15,traduction,Non, Non,2,2,2,2,1,2,NA,2,
1945,el,el,al,el,el,el,ø,el,15,traduction,Non, Non,1,1,2,1,1,1,NA,1,
1946,lo,se,lo,lo,se,lo,ø,lo,15,traduction,Non, Non,2,1,2,2,1,2,NA,2,
1947,delos,de,de,de,de,de,ø,de,15,traduction,Non, Non,2,1,1,1,1,1,NA,1,
1948,o,o,e,o,o,o,ø,o,15,traduction,Non, Non,1,1,2,1,1,1,NA,1,
1949,Ca,Ca,Ca,Ca,e,Ca,ø,Ca,15,traduction,Non, Non,2,2,2,2,1,2,NA,2,
1950,esquierdo,ysquierdo,esquierdo,ysquierdo,dizquierdo,esquierdo,ø,esquierdo,15,traduction,Non, Non,1,1,1,1,2,1,NA,1,
1951,mayor,mejor,mayor,mayor,mayor,mayor,ø,mayor,15,traduction,Non, Non,1,2,1,1,1,1,NA,1,
1952,dar,golpear,dar,dar,dar,dar,ø,dar,15,traduction,Non, Non,1,2,1,1,1,1,NA,1,
1953,sinestra,syniestra,siniestra,siniestra,siniestra,syniestra,ø,siniestra,15,traduction,Non, Non,2,1,1,1,1,1,NA,1,
1954,do,donde,do,do,donde,do,ø,do,15,traduction,Non, Non,2,1,2,2,1,2,NA,2,
1955,Quando,Quanto,Quanto,Quanto,Quanto,quanto,ø,Quanto,15,traduction,Non, Non,2,1,1,1,1,1,NA,1,
1956,los,les,los,los,los,los,ø,los,15,traduction,Non, Non,1,2,1,1,1,1,NA,1,
1957,quede,finque,quede,quede,finque,quede,ø,quede,15,traduction,Oui, Non,2,1,2,2,1,2,NA,2,
1958,e,o,e,e,o,e,ø,e,15,traduction,Non, Non,2,1,2,2,1,2,NA,2,
1959,encerrasen,ençerrasen,ençerrasen,ençerrassen,ençerrasen,ençerrasen,ø,encerrasen,15,traduction,Non, Non,2,2,2,1,2,2,NA,2,
1960,brauamente,bravamente,bravamente,bravamente,bravamente,bravamente,ø,brauamente,15,traduction,Non, Non,2,1,1,1,1,1,NA,2,
1961,enellos,ellos,ellos,ellos,ellos,ello,ø,ellos,15,traduction,Non, Non,2,3,3,3,3,1,NA,3,
1962,alaba,ø,alababa,alaba,ø,alaba,ø,alaba,15,traduction,Non, Non,2,0,1,2,0,2,NA,2,
1963,de,de,de,de,e,de,ø,de,15,traduction,Non, Non,2,2,2,2,1,2,NA,2,
1964,de,ser,de,de,ser,de,ø,de,15,traduction,Non, Non,2,1,2,2,1,2,NA,2,
1965,deuenles,dévenles,dévenles,deven,dévenles,deven,ø,deuenles,15,traduction,Non, Non,2,2,2,1,2,1,NA,2,
1966,dexar,dexar,dexar,dexarles,dexar,dexarles,ø,dexar,15,traduction,Non, Non,1,1,1,2,1,2,NA,1,
1967,dello,dellos,dello,dellos,dellos,dellos,ø,dellos,15,traduction,Non, Non,2,1,2,1,1,1,NA,1,
1968,como,co,commo,commo,commo,commo,ø,como,15,traduction,Non, Non,1,2,3,3,3,3,NA,1,
1969,los,se,se,se,se,se,ø,los,15,traduction,Non, Non,2,1,1,1,1,1,NA,2,
1970,ay,ay,ay,hay,ay,ay,ø,ay,15,traduction,Non, Non,1,1,1,2,1,1,NA,1,
1971,E,o,o,e,o,o,ø,O,15,traduction,Non, Non,1,2,2,1,2,2,NA,2,
1972,e,e,e,e,o,e,ø,e,15,traduction,Non, Non,2,2,2,2,1,2,NA,2,
1973,e,o,o,e,o,e,ø,e,15,traduction,Non, Non,2,1,1,2,1,2,NA,2,
1974,quando,quando,quando,quando,ya,quando,ø,quando,15,traduction,Non, Non,2,2,2,2,1,2,NA,2,
1975,ferir,ferirlos,ferirlos,ferirlos,ferirlos,ferirlos,ø,ferirlos,15,traduction,Non, Non,2,1,1,1,1,1,NA,1,
1976,deuiesen,oviesen,deviesen,deviesen,oviesen,deviesen,ø,deuiesen,15,traduction,Oui, Non,1,2,1,1,2,1,NA,1,
1977,saluo,sacado,salvo,salvo,sacando,salvo,ø,saluo,15,traduction,Oui, Non,2,1,2,2,1,2,NA,2,
1978,Quanto,Quanto,Quanto,Quanto,Quando,Quanto,ø,Quanto,15,traduction,Non, Non,2,2,2,2,1,2,NA,2,
1979,qual,quál,quál,quál,quál,qualquiera,ø,qual,15,traduction,Non, Non,2,2,2,2,2,1,NA,2,
1980,si,sy,si,si,si,sy,ø,sy,15,traduction,Non, Non,1,2,1,1,1,2,NA,2,
1981,alguno,ninguno,alguno,alguno,ninguno,alguno,ø,alguno,15,traduction,Non, Non,2,1,2,2,1,2,NA,2,
1982,fuyrian,fuyrién,fuyrían,fuyríen,fuyrían,fuyrían,ø,fuyrian,15,traduction,Non, Non,2,1,1,1,1,1,NA,2,
1983,matarlos,matarlos,matarlos,matarlos,matarlos,matarlos,ø,matar,15,traduction,Non, Non,1,1,1,1,1,1,NA,2,
1984,o,e,o,o,e,o,ø,o,15,traduction,Non, Non,2,1,2,2,1,2,NA,2,
1985,brauamente,bravamente,bravamente,bravamente,bravamente,bravamente,ø,brauamente,15,traduction,Non, Non,2,1,1,1,1,1,NA,2,
1986,que,que,que,que,que,quél,ø,que,15,traduction,Non, Non,1,1,1,1,1,2,NA,1,
1987,brauamente,bravamente,bravamente,bravamente,bravamente,bravamente,ø,brauamente,15,traduction,Non, Non,2,1,1,1,1,1,NA,2,
1988,cauallo,cavallo,cavallo,cavallo,cavallo,cavallero,ø,cauallo,15,traduction,Non, Non,2,2,2,2,2,1,NA,2,
1989,departir,partir,departyr,departir,departyr,departir,ø,,15,traduction,Non, Non,3,1,3,3,3,3,NA,2,
1990,a,a,allí,a,allá,a,ø,a,15,traduction,Non, Non,3,3,2,3,1,3,NA,3,
1991,defenderse,defender,defenderse,defenderse,defender,defenderse,ø,defenderse,15,traduction,Non, Non,2,1,2,2,1,2,NA,2,
1992,el,el,el,el,el,quel,ø,el,15,glose,Non, Non,1,1,1,1,1,2,NA,1,
1993,ese,ese,ese,esse,este,ese,ø,esse,15,glose,Non, Non,2,2,2,2,1,2,NA,2,
1994,que,qual,que,que,qual,que,ø,que,15,glose,Non, Non,2,1,2,2,1,2,NA,2,
1995,acometimiento,cometimiento,acometimiento,acometimiento,comendamiento,acometimiento,ø,acometimiento,15,glose,Non, Non,1,1,1,1,2,1,NA,1,
1996,de,de,de,de,de,dar,ø,de,15,glose,Non, Non,1,1,1,1,1,2,NA,1,
1997,E,Et,Et,E,que,Et,ø,E,15,glose,Non, Non,1,2,2,1,3,2,NA,1,
1998,Ca,ca,ca,ca,e,Ca,ø,Ca,15,glose,Non, Non,2,2,2,2,1,2,NA,2,
1999,afiar,afiar,afiar,afiar,desafiar,desafiar,ø,fiar,15,glose,Oui, Non,2,2,2,2,3,3,NA,1,
2000,afiare,afiaren,afiare,afiaren,afiaren,afiaren,ø,fiare,15,glose,Non, Non,1,3,1,3,3,3,NA,2,
2001,ello,ello,ello,ellos,ello,ello,ø,ello,15,glose,Non, Non,1,1,1,2,1,1,NA,1,
2002,afiar,afiar,afiar,afiar,afiar,afiar,ø,fiar,15,glose,Non, Non,1,1,1,1,1,1,NA,2,
2003,destas,destas,destas,estas,destas,destas,ø,destas,15,glose,Non, Non,1,1,1,2,1,1,NA,1,
2004,ello,ello,ello,ello,ellos,ello,ø,ello,15,glose,Non, Non,2,2,2,2,1,2,NA,2,
2005,o,o,o,o,nin,o,ø,o,15,glose,Non, Non,2,2,2,2,1,2,NA,2,
2006,aun,aun,aun,aún,aun,aun,ø,avn,15,glose,Non, Non,2,2,2,2,2,2,NA,1,
2007,asi,asý,así,así,si,asý,ø,asi,15,glose,Non, Non,1,1,1,1,2,1,NA,1,
2008,guardan,guardan,guardan,guardan,,guardan,ø,guardan,15,glose,Non, Non,2,2,2,2,1,2,NA,2,
2009,desdezir,desdezir,desdezir,desdezir,desdezir,dezir,ø,desdezir,15,glose,Oui, Non,1,1,1,1,1,2,NA,1,
2010,ellos,ellos,ellos,los,ellos,ellos,ø,ellos,15,glose,Non, Non,1,1,1,2,1,1,NA,1,
2011,enel,en,en,en,en,en,ø,en,15,glose,Non, Non,2,1,1,1,1,1,NA,1,
2012,Ca,e,Ca,ca,Ca,ca,ø,Ca,15,glose,Non, Non,2,1,2,2,2,2,NA,2,
2013,pasandolas,pasándolas,pasándolas,passándolas,pasado,pasándolas,ø,passandolas,15,glose,Non, Non,1,1,1,1,2,1,NA,1,
2014,O,Et,E,o,e,O,ø,O,15,glose,Non, Non,2,3,1,2,1,2,NA,2,
2015,caualleros,cavalleros,cavallero,cavallos,ø,cavalleros,ø,caualleros,15,glose,Oui, Non,2,2,1,3,0,2,NA,2,
2016,o,e,o,o,ø,o,ø,o,15,glose,Non, Non,2,1,2,2,0,2,NA,2,
2017,con,en,con,con,en,con,ø,con,15,glose,Non, Non,2,1,2,2,1,2,NA,2,
2018,efuraçion,efurçión,efuraçión,ofuraçión,efurçión,ofuraçión,ø,efuracion,15,glose,Non, Non,2,1,1,1,1,1,NA,1,
2019,si,asý,así,asý,así,asý,ø,asy,15,glose,Non, Non,2,1,1,1,1,1,NA,1,
2020,non,non,non,non,non,synon,ø,non,15,glose,Non, Non,1,1,1,1,1,2,NA,1,
2021,desus,de,de,de,ø,de,ø,de,15,glose,Non, Non,2,1,1,1,0,1,NA,1,
2022,soldadas,soldadas,soldadas,soldadas,padres,soldadas,ø,soldadas,15,glose,Oui, Non,2,2,2,2,1,2,NA,2,
2023,ganan,ganan,ganan,ganan,deven,gana,ø,ganan,15,glose,Oui, Non,2,2,2,2,1,3,NA,2,
2024,o,e,e,o,ø,o,ø,o,15,glose,Non, Non,2,1,1,2,0,2,NA,2,
2025,han,ganan,an,ganan,ganan,ganan,ø,han,15,glose,Non, Non,2,1,2,1,1,1,NA,2,
2026,bienes,buenos,bienes,bienes,bienes,bienes,ø,bienes,15,glose,Oui, Non,1,2,1,1,1,1,NA,1,
2027,proueer,proveer,proveer,proveer,proveer,poner,ø,proueer,15,glose,Oui, Non,1,1,1,1,1,2,NA,1,
2028,proueza,probeza,pobreza,pobreza,pobreza,proveza,ø,pobreza,15,glose,Non, Non,1,1,2,2,2,2,NA,2,
2029,a,en,a,a,a,a,ø,a,15,glose,Non, Non,1,2,1,1,1,1,NA,1,
2030,sesto,vi,vi°,vi°,vi°,sesto,ø,sexto,15,glose,Non, Non,2,2,2,2,2,2,NA,1,
2031,xvj°,xvi,xvi°,xvi,·xvi·,xvi,ø,xvj,16,,Non, Non,2,1,4,1,3,1,NA,1,
2032,quantas,quántas,quántas,quántas,quántas,quántos,ø,quantas,16,,Non, Non,1,2,2,2,2,3,NA,1,
2033,maneras,maneras,maneras,maneras,maneras,linajes,ø,maneras,16,,Non, Non,1,1,1,1,1,2,NA,1,
2034,enquantas,quántas,quántas,quántas,quántas,quántas,ø,quantas,16,,Non, Non,1,2,2,2,2,2,NA,2,
2035,vençer,vençer,vençer,vençer,vençer,ganar,ø,vencer,16,,Oui, Non,1,1,1,1,1,2,NA,1,
2036,cercar,çercar,çercarlas,çercar,çercar,ø,ø,cercar,16,,Non, Non,1,1,2,1,1,0,NA,1,
2037,ø,ø,ø,ø,tienpo,n,ø,ø,16,traduction,Non, Non,0,0,0,0,1,2,NA,0,
2038,qual,quál,quál,quál,quál,qué,ø,qual,16,traduction,Non, Non,2,2,2,2,2,1,NA,2,
2039,deuen,deven,deve,deven,deven,es,ø,deuen,16,traduction,Non, Non,2,2,1,2,2,3,NA,2,
2040,quanto,quando,quanto,quanto,quanto,quando,ø,quanto,16,traduction,Non, Non,1,2,1,1,1,2,NA,1,
2041,encerrar,çercar,ençerrar,çercar,çercar,ençerrar,ø,encerrar,16,traduction,Non, Non,1,2,1,2,2,1,NA,1,
2042,cercadora,çercadora,çercadora,çercadora,çercadora,çercadora,ø,cercadora,16,traduction,Non, Non,2,1,1,1,1,1,NA,2,
2043,de,de,de,de,dicha,de,ø,de,16,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2044,saluo,sacado,salvo,salvo,sacando,salvo,ø,saluo,16,traduction,Non, Non,1,3,1,1,3,1,NA,1,
2045,ley,lid,lid,ley,ley,batalla,ø,ley,16,traduction,Oui, Non,1,2,2,1,1,3,NA,1,
2046,cercan,çerca,çercan,çercan,çercan,çercan,ø,cercan,16,traduction,Non, Non,2,1,2,2,2,2,NA,2,
2047,los,aquellos,lo,los,aquéllos,lo,ø,los,16,traduction,Non, Non,3,1,2,3,1,2,NA,3,
2048,cercadores,çercados,ençerrados,çercadores,cercados,çercadores,ø,cercadores,16,traduction,Non, Non,4,2,3,4,1,4,NA,4,
2049,batalla,batalla,batalla,batalla,linaje,batalla,ø,batalla,16,traduction,Oui, Non,2,2,2,2,1,2,NA,2,
2050,o,o,e,o,ø,o,ø,o,16,traduction,Non, Non,2,2,1,2,0,2,NA,2,
2051,Ca,Ca,Et,Ca,ø,Ca,ø,Ca,16,traduction,Non, Non,2,2,1,2,0,2,NA,2,
2052,de,del,de,de,del,de,ø,de,16,traduction,Non, Non,2,1,2,2,1,2,NA,2,
2053,naual,naval,naval,naval,natural,naval,ø,naual,16,traduction,Oui, Non,2,2,2,2,1,2,NA,2,
2054,mar,manera,mar,mar,manera,mar,ø,mar,16,traduction,Non, Non,2,1,2,2,1,2,NA,2,
2055,o,o,o,o,en,o,ø,o,16,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2056,artes,tres,artes,artes,maneras,artes,ø,artes,16,traduction,Non, Non,3,1,3,3,2,3,NA,3,
2057,en,por,en,en,ø,en,ø,en,16,traduction,Non, Non,1,2,1,1,0,1,NA,1,
2058,a,han,a,a,ellos,a,ø,a,16,traduction,Non, Non,2,1,2,2,3,2,NA,2,
2059,puertos,puertos,puertos,puertos,çercan,puertos,ø,puertos,16,traduction,Oui, Non,2,2,2,2,1,2,NA,2,
2060,enel,en,en,en,en,en,ø,en,16,traduction,Non, Non,2,1,1,1,1,1,NA,1,
2061,e,e,e,e,e,nin,ø,e,16,traduction,Non, Non,1,1,1,1,1,2,NA,1,
2062,ella,ellas,ella,ella,ella,ellas,ø,ella,16,traduction,Non, Non,1,2,1,1,1,2,NA,1,
2063,,maneras,maneras,maneras,maneras,maneras,ø,maneras,16,traduction,Non, Non,2,1,1,1,1,1,NA,1,
2064,gela,gela,gelas,gela,gela,gela,ø,gela,16,traduction,Non, Non,1,1,2,1,1,1,NA,1,
2065,quitar,tirar,quitar,quitar,tyrar,quitar,ø,quitar,16,traduction,Non, Non,2,1,2,2,1,2,NA,2,
2066,caños,caños,caños,caños,caños,caños,ø,canos,16,traduction,Non, Non,1,1,1,1,1,1,NA,2,
2067,deuengelos,dévengelos,dévegelos,dévengelos,devengelos,dévengelos,ø,deuengelos,16,traduction,Non, Non,1,1,2,1,3,1,NA,1,
2068,pasos,pasos,pasos,pissos,pasos,pasos,ø,passos,16,traduction,Non, Non,1,1,1,2,1,1,NA,1,
2069,carreras,carreras,carreras,carreteras,carreras,carreras,ø,carreras,16,traduction,Non, Non,1,1,1,2,1,1,NA,1,
2070,çercados,çercados,cercados,çercados,çercados,çercados,ø,cercados,16,traduction,Non, Non,1,1,2,1,1,1,NA,2,
2071,el,el,el,el,quel,quel,ø,el,16,traduction,Non, Non,2,2,2,2,1,1,NA,2,
2072,cercadores,çercadores,cercadores,çercadores,çercados,çercadores,ø,cercadores,16,traduction,Non, Non,1,1,1,1,2,1,NA,1,
2073,dentro,dentro,dentro,dentro,fuera,dentro,ø,dentro,16,traduction,Oui, Non,2,2,2,2,1,2,NA,2,
2074,manos,narizes,manos,manos,ø,manos,ø,manos,16,traduction,Non, Non,1,2,1,1,0,1,NA,1,
2075,e,e,e,e,que,e,ø,e,16,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2076,fazenles,fázenles,fázenlos,fázenles,ø,fázenles,ø,fazenles,16,traduction,Non, Non,2,2,1,2,0,2,NA,2,
2077,les,les,les,los,les,les,ø,les,16,traduction,Non, Non,1,1,1,2,1,1,NA,1,
2078,terçera,iii°,iii°,iii°,iiii°,iii°,ø,tercera,16,traduction,Non, Non,1,1,1,1,2,1,NA,1,
2079,enel,en,en,en,en,en,ø,en,16,traduction,Non, Non,2,1,1,1,1,1,NA,1,
2080,pueden,pueden,deven,pueden,pueden,pueden,ø,pueden,16,traduction,Oui, Non,1,1,2,1,1,1,NA,1,
2081,redonda,rredonda,redonda,redonda,rredonda,redonda,ø,redonda,16,traduction,Non, Non,2,1,2,2,1,2,NA,2,
2082,Quanto,Quanto,Quanto,Quanto,Quanto,Quando,ø,Quanto,16,traduction,Non, Non,1,1,1,1,1,2,NA,1,
2083,el,el,el,el,el,quel,ø,el,16,traduction,Non, Non,1,1,1,1,1,2,NA,1,
2084,o,o,o,o,e,o,ø,o,16,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2085,ese,ese,ese,esse,este,este,ø,ese,16,traduction,Non, Non,1,1,1,1,2,2,NA,1,
2086,començar,començar,començar,començar,encomençar,començar,ø,començar,16,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2087,fasta,fasta,fasta,fazia,fasta,fasta,ø,fasta,16,traduction,Non, Non,1,1,1,2,1,1,NA,1,
2088,saber,saber,saber,saber,notar,saber,ø,saber,16,glose,Oui, Non,2,2,2,2,1,2,NA,2,
2089,ø,ø,ø,a,en,a,ø,ø,16,glose,Non, Non,0,0,0,2,1,2,NA,0,
2090,almogotes,almogotes,almogotes,almogotes,montes,almogotes,ø,almogotes,16,glose,Oui, Non,2,2,2,2,1,2,NA,2,
2091,e,o,o,e,e,e,ø,e,16,glose,Non, Non,1,2,2,1,1,1,NA,1,
2092,a,vayan,a,a,vayan,a,ø,a,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2093,cada,toda,cada,cada,toda,cada,ø,cada,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2094,firme,firme,fyrme,firme,firme,firme,ø,firme,16,glose,Non, Non,1,1,2,1,1,1,NA,1,
2095,deuela,dévela,allá,dévele,dévela,dévele,ø,deuela,16,glose,Non, Non,3,3,2,1,3,1,NA,3,
2096,acorrer,acorrer,corra,acorrer,acorrer,acorrer,ø,acorrer,16,glose,Non, Non,1,1,2,1,1,1,NA,1,
2097,quier,quier,quiera,quier,quier,quier,ø,quier,16,glose,Non, Non,1,1,2,1,1,1,NA,1,
2098,apesgare,apesgara,apesgare,apesgare,apesgare,apesgare,ø,apesgare,16,glose,Non, Non,1,2,1,1,1,1,NA,1,
2099,alli,allí,allá,allí,allí,allý,ø,alli,16,glose,Non, Non,1,1,2,1,1,1,NA,1,
2100,E,que,e,E,que,e,ø,E,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2101,forma,forma,forma,forma,manera,forma,ø,forma,16,glose,Non, Non,2,2,2,2,1,2,NA,2,
2102,si,sy,si,si,si,sy,ø,sy,16,glose,Non, Non,1,2,1,1,1,2,NA,2,
2103,a,en,a,a,a,a,ø,a,16,glose,Non, Non,1,2,1,1,1,1,NA,1,
2104,sy,sý,sí,sí,sý,sý,ø,sy,16,glose,Non, Non,2,1,1,1,1,1,NA,2,
2105,cuño,commo,cuño,cuño,commo,cuño,ø,cuño,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2106,aronperlos,ø,arromperlos,ronperlos,rresponderles,ronperlos,ø,ronperlos,16,glose,Non, Non,4,0,1,3,2,3,NA,3,
2107,o,e,o,o,e,o,ø,o,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2108,a,en,a,a,en,a,ø,a,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2109,suego,fuego,ø,fuego,ø,fuego,ø,fuego,16,glose,Non, Non,1,2,0,2,0,2,NA,2,
2110,O,e,et,E,e,e,ø,O,16,glose,Non, Non,1,3,2,3,3,3,NA,1,
2111,tomo,commo,tomó,tomó,commo,tomó,ø,tomo,16,glose,Non, Non,1,2,1,1,2,1,NA,1,
2112,por,por,por,por,de,por,ø,por,16,glose,Non, Non,2,2,2,2,1,2,NA,2,
2113,o,o,e,o,o,o,ø,o,16,glose,Non, Non,1,1,2,1,1,1,NA,1,
2114,si,sý,sý,sí,sí,sý,ø,sy,16,glose,Non, Non,1,1,1,1,1,1,NA,2,
2115,de,de,de,de,a,de,ø,de,16,glose,Non, Non,2,2,2,2,1,2,NA,2,
2116,el,el,el,el,quel,quel,ø,el,16,glose,Non, Non,2,2,2,2,1,1,NA,2,
2117,Ca,que,ca,Ca,que,ca,ø,Ca,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2118,este,ese,este,este,este,éste,ø,este,16,glose,Non, Non,3,2,3,3,3,1,NA,3,
2119,a,o,a,a,o,a,ø,a,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2120,començar,acometer,començar,començar,acometer,començar,ø,començar,16,glose,Non, Non,2,1,2,2,1,2,NA,2,
2121,leemos,leemos,leemos,leemos,leemos,deximos,ø,leemos,16,glose,Non, Non,1,1,1,1,1,2,NA,1,
2122,xvij,xvii°,xvii°,xviii,xvii,xvii,ø,xvij,17,,Non, Non,2,3,3,1,2,2,NA,2,
2123,com̊,commo,commo,commo,commo,commo,ø,como,17,,Non, Non,3,2,2,2,2,2,NA,1,
2124,deuen,deven,deven,deven,deven,an,ø,deuen,17,,Non, Non,1,1,1,1,1,2,NA,1,
2125,guarnesçer,guarnesçer,guaresçer,guarneçer,guarnesçer,guarneçer,ø,guarneçer,17,,Non, Non,2,2,1,2,2,2,NA,2,
2126,cercadores,çercados,çercadores,çercadores,çercadores,çercados,ø,cercadores,17,,Non, Non,2,1,2,2,2,1,NA,2,
2127,e,e,e,e,e,or,ø,e,17,,Non, Non,1,1,1,1,1,2,NA,1,
2128,como,commo,commo,commo,commo,que,ø,como,17,,Non, Non,2,1,1,1,1,3,NA,2,
2129,deue,deve,deven,deve,deve,reçiban,ø,deue,17,,Non, Non,3,3,1,3,3,2,NA,3,
2130,conbatir,conbatir,conbatir,conbatir,conbatir,daño,ø,conbatir,17,,Non, Non,1,1,1,1,1,2,NA,1,
2131,la,al,la,la,la,los,ø,la,17,,Non, Non,2,3,2,2,2,1,NA,2,
2132,çibdat,çibdat,cibdat,çibdat,çibdat,de,ø,cibdad,17,,Non, Non,1,1,1,1,1,2,NA,1,
2133,ola,o,o,o,o,dentro,ø,o,17,,Non, Non,2,3,3,3,3,1,NA,3,
2134,soterrañas,soterrañas,soterranas,soterrañas,soterrañas,ø,ø,soterrañas,17,,Non, Non,1,1,2,1,1,0,NA,1,
2135,sentençia,señia,sentençia,sentençia,sentençia,sentençia,ø,sentencia,17,traduction,Non, Non,2,1,2,2,2,2,NA,2,
2136,primero,lo,Lo,lo,Lo,Lo,ø,Lo,17,traduction,Non, Non,1,2,2,2,2,2,NA,2,
2137,quando,quando,quanto,quando,quando,quando,ø,quando,17,traduction,Non, Non,1,1,2,1,1,1,NA,1,
2138,e,e,e,e,o,e,ø,e,17,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2139,fazerles,fazerles,fazerles,fazerles,fazer,fazerles,ø,fazerles,17,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2140,o,e,o,o,o,o,ø,o,17,traduction,Non, Non,1,2,1,1,1,1,NA,1,
2141,robandogelas,rrobándogelas,robándogelas,robándogelas,rrobándogelas,robándogelas,ø,robandogelas,17,traduction,Non, Non,1,2,3,3,2,3,NA,1,
2142,muy,muy,muy,muy,muy,mucho,ø,muy,17,traduction,Non, Non,1,1,1,1,1,2,NA,1,
2143,carcauas,carcavas,carcavas,carcavas,carcavas,çercanas,ø,carcauas,17,traduction,Oui, Non,2,2,2,2,2,1,NA,2,
2144,si,sy,si,si,si,sy,ø,si,17,traduction,Non, Non,1,2,1,1,1,2,NA,1,
2145,donde,donde,donde,don,donde,donde,ø,donde,17,traduction,Non, Non,1,1,1,2,1,1,NA,1,
2146,do,Do,do,Do,Do,do,ø,Do,17,traduction,Non, Non,2,1,2,1,1,2,NA,1,
2147,ay,ay,ay,hay,ay,ay,ø,ay,17,traduction,Non, Non,1,1,1,2,1,1,NA,1,
2148,aun,aun,aun,aun,aun,aun,ø,avn,17,traduction,Non, Non,1,1,1,1,1,1,NA,2,
2149,si,sý,sý,sí,sí,sy,ø,sy,17,traduction,Non, Non,2,2,2,2,2,1,NA,1,
2150,torquies,torques,torquíes,torquíes,torques,torques,ø,turquies,17,traduction,Non, Non,3,1,2,2,1,1,NA,2,
2151,arqueros,arqueros,arqueros,arqueros,arqueros,arcos,ø,arqueros,17,traduction,Oui, Non,1,1,1,1,1,2,NA,1,
2152,los,les,los,los,los,los,ø,los,17,traduction,Non, Non,1,2,1,1,1,1,NA,1,
2153,e,e,e,e,o,e,ø,e,17,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2154,con,con,con,con,en,con,ø,con,17,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2155,o,e,o,o,o,o,ø,o,17,traduction,Non, Non,1,2,1,1,1,1,NA,1,
2156,quatro,quatro,quatro,iiii°,quatro,quatro,ø,quatro,17,traduction,Non, Non,1,1,1,2,1,1,NA,1,
2157,otra,otras,otra,otra,otra,otra,ø,segunda,17,traduction,Non, Non,3,1,3,3,3,3,NA,2,
2158,terçera,iii°,iii°,iii°,otra,iii°,ø,tercera,17,traduction,Non, Non,1,1,1,1,2,1,NA,1,
2159,o,o,et,o,o,o,ø,o,17,traduction,Non, Non,1,1,2,1,1,1,NA,1,
2160,cauas,cava,cavas,cavas,cuevas,ø,ø,cauas,17,traduction,Non, Non,1,3,1,1,2,0,NA,1,
2161,tal,tal,al,tal,tal,tal,ø,tal,17,traduction,Non, Non,1,1,2,1,1,1,NA,1,
2162,sostenerlos,sostenerlos,sostenerlos,soponerlos,sotenerlas,soponerlos,ø,sostenerlos,17,traduction,Oui, Non,1,1,1,3,2,3,NA,1,
2163,so,so,en,so,so,so,ø,so,17,traduction,Non, Non,1,1,2,1,1,1,NA,1,
2164,tierra,tierra,çibdat,tierra,tierra,tierra,ø,tierra,17,traduction,Oui, Non,1,1,2,1,1,1,NA,1,
2165,que,que,porque,que,que,que,ø,que,17,traduction,Non, Non,1,1,2,1,1,1,NA,1,
2166,nascan,nascan,nascan,nascan,estén,nascan,ø,nascan,17,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2167,sospecha,sospecha,sospecha,sospecha,sospecha,sospechar,ø,sospecha,17,traduction,Non, Non,1,1,1,1,1,2,NA,1,
2168,cuentas,cuevas,cuevas,cuevas,cuevas,cuevas,ø,cueuas,17,traduction,Non, Non,2,1,1,1,1,1,NA,1,
2169,Ca,ca,ca,ca,e,Ca,ø,Ca,17,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2170,ante,ante,ante,ante,ante,antel,ø,ante,17,traduction,Non, Non,1,1,1,1,1,2,NA,1,
2171,carcauas,carcavas,carcavas,carcavas,carcavas,carcavas,ø,carcauas,17,traduction,Non, Non,2,1,1,1,1,1,NA,2,
2172,con,con,con,con,en,con,ø,con,17,traduction,Non, Non,2,2,2,2,1,2,NA,2,
2173,cauados,cavados,cavados,cavados,armados,cavados,ø,cauados,17,traduction,Oui, Non,1,1,1,1,2,1,NA,1,
2174,a,de,a,de,de,de,ø,a,17,traduction,Non, Non,2,1,2,1,1,1,NA,2,
2175,deuen,dévenlo,deven,deven,dévenlo,deven,ø,deuen,17,traduction,Non, Non,1,2,1,1,2,1,NA,1,
2176,e,e,et,e,e,o,ø,e,17,traduction,Non, Non,1,1,2,1,1,3,NA,1,
2177,Ca,E,ca,Ca,e,ca,ø,Ca,17,traduction,Non, Non,2,1,2,2,1,2,NA,2,
