Index,A,B,G,J,Q,R,Z,U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U
1328,ø,ø,ø,ø,ø,ø,le,ø,13,glose,Non, Non,1328,0,0,0,0,0,0,2,0
1329,ø,ø,ø,ø,ø,ø,lo,ø,13,glose,Non, Non,1329,0,0,0,0,0,0,2,0
1330,que,que,que,ø,ø,que,ø,ø,13,glose,Non, Non,1330,2,2,2,0,0,2,0,0
1331,les,ø,ø,les,ø,ø,ø,ø,13,glose,Non, Non,1331,2,0,0,2,0,0,0,0
1332,ø,ø,ø,los,ø,ø,ø,ø,13,glose,Non, Non,1332,0,0,0,2,0,0,0,0
1333,ø,ø,de,de,de,de,de,ø,13,glose,Non, Non,1333,0,0,1,1,1,1,1,0
1334,ø,a,a,a,ø,a,a,ø,13,glose,Non, Non,1334,0,2,2,2,0,2,2,0
1335,ø,ø,ø,ma,ø,ø,ø,ø,13,glose,Non, Non,1335,0,0,0,2,0,0,0,0
1336,ø,e,e,e,e,ø,e,ø,13,glose,Non, Non,1336,0,1,1,1,1,0,1,0
1337,ø,ø,Et,ø,ø,ø,ø,ø,13,glose,Non, Non,1337,0,0,2,0,0,0,0,0
1338,que,ø,que,que,que,que,ø,ø,13,glose,Non, Non,1338,1,0,1,1,1,1,0,0
1339,de,ø,de,de,ø,de,de,ø,13,glose,Non, Non,1339,2,0,2,2,0,2,2,0
1340,ø,non,non,ø,ø,on,no,ø,13,glose,Non, Non,1340,0,2,2,0,0,3,2,0
1341,ø,e,e,e,e,e,e,ø,13,glose,Non, Non,1341,0,1,1,1,1,1,1,0
1342,e,e,e,e,e,ø,e,ø,13,glose,Non, Non,1342,1,1,1,1,1,0,1,0
1343,ø,en,en,en,en,en,en,ø,13,glose,Non, Non,1343,0,1,1,1,1,1,1,0
1344,ø,en,en,en,en,en,en,ø,13,glose,Non, Non,1344,0,1,1,1,1,1,1,0
1345,ø,son,son,son,son,son,son,ø,13,glose,Non, Non,1345,0,1,1,1,1,1,1,0
1346,ø,ø,de,ø,ø,ø,ø,ø,13,glose,Non, Non,1346,0,0,2,0,0,0,0,0
1347,de,de,de,de,ø,de,de,ø,13,glose,Non, Non,1347,2,2,2,2,0,2,2,0
1348,ø,los,los,los,los,los,los,ø,13,glose,Non, Non,1348,0,1,1,1,1,1,1,0
1349,abeuer,ø,ø,ø,ø,ø,ø,ø,13,glose,Non, Non,1349,2,0,0,0,0,0,0,0
1350,ø,ø,ø,río,ø,río,ø,ø,13,glose,Non, Non,1350,0,0,0,2,0,2,0,0
1351,ø,ø,ø,ellos,ø,ellos,ø,ø,13,glose,Non, Non,1351,0,0,0,2,0,2,0,0
1352,ø,a,a,a,a,a,ø,ø,13,glose,Non, Non,1352,0,1,1,1,1,1,0,0
1353,ø,ø,ø,ø,ende,ø,ø,ø,13,glose,Non, Non,1353,0,0,0,0,1,0,0,0
1354,ø,ø,ø,ø,ø,a,ø,ø,13,glose,Non, Non,1354,0,0,0,0,0,2,0,0
1355,ø,ø,ardidamente,ø,ø,ø,ø,ø,13,glose,Non, Non,1355,0,0,2,0,0,0,0,0
1356,ø,éstos,ø,ø,ø,ø,ø,ø,13,glose,Non, Non,1356,0,2,0,0,0,0,0,0
1357,muy,muy,ø,ø,muy,ø,muy,ø,13,glose,Non, Non,1357,1,1,0,0,1,0,1,0
1358,ø,dellos,ø,ø,dellos,ø,ø,ø,13,glose,Non, Non,1358,0,1,0,0,1,0,0,0
1359,ø,ø,ø,ø,ø,provechosas,ø,ø,14,,Non, Non,1359,0,0,0,0,0,2,0,0
1360,es,ø,ø,ø,ø,sus,ø,ø,14,,Non, Non,1360,2,0,0,0,0,1,0,0
1361,en,en,ø,en,en,ø,en,ø,14,,Non, Non,1361,1,1,0,1,1,0,1,0
1362,a,ø,ø,ø,ø,ø,ø,ø,14,traduction,Non, Non,1362,2,0,0,0,0,0,0,0
1363,que,que,que,que,que,ø,que,ø,14,traduction,Non, Non,1363,1,1,1,1,1,0,1,0
1364,para,para,para,ø,para,ø,para,ø,14,traduction,Non, Non,1364,1,1,1,0,1,0,1,0
1365,ø,ø,ø,ø,ø,en,ø,ø,14,traduction,Non, Non,1365,0,0,0,0,0,2,0,0
1366,ø,ø,corporalmente,ø,ø,ø,ø,ø,14,traduction,Non, Non,1366,0,0,2,0,0,0,0,0
1367,corporalmente,corporalmente,ø,corporalmente,corporalmente,corporalmente,corporalmente,ø,14,traduction,Non, Non,1367,1,1,0,1,1,1,1,0
1368,quando,quando,quando,quando,ø,quando,quando,ø,14,traduction,Non, Non,1368,2,2,2,2,0,2,2,0
1369,ø,commo,ø,ø,ø,ø,ø,ø,14,traduction,Non, Non,1369,0,2,0,0,0,0,0,0
1370,ø,ø,buen,ø,ø,ø,ø,ø,14,traduction,Non, Non,1370,0,0,2,0,0,0,0,0
1371,ø,e,ø,e,e,e,e,ø,14,traduction,Non, Non,1371,0,1,0,1,1,1,1,0
1372,muy,ø,muy,muy,ø,ø,muy,ø,14,traduction,Non, Non,1372,2,0,2,2,0,0,2,0
1373,a,a,a,a,ø,a,a,ø,14,traduction,Non, Non,1373,2,2,2,2,0,2,2,0
1374,cosa,cosa,cosa,cosa,ø,cosa,cosa,ø,14,traduction,Non, Non,1374,2,2,2,2,0,2,2,0
1375,ø,es,ø,ø,es,es,ø,ø,14,traduction,Non, Non,1375,0,1,0,0,1,1,0,0
1376,ø,estas,ø,estas,estas,estas,estas,ø,14,traduction,Non, Non,1376,0,1,0,1,1,1,1,0
1377,tercero,ø,iii°,iii°,ø,ii°,tercero,ø,14,traduction,Non, Non,1377,2,0,2,2,0,1,2,0
1378,ø,el,ø,el,el,el,ø,ø,14,traduction,Non, Non,1378,0,1,0,1,1,1,0,0
1379,e,ø,ø,e,ø,e,e,ø,14,traduction,Non, Non,1379,2,0,0,2,0,2,2,0
1380,quarto,ø,iiii°,iiii°,ø,iii°,quarto,ø,14,traduction,Non, Non,1380,4,0,1,1,0,2,4,0
1381,que,que,que,que,que,ø,que,ø,14,traduction,Non, Non,1381,1,1,1,1,1,0,1,0
1382,si,ø,ø,ø,ø,ø,ø,ø,14,traduction,Non, Non,1382,2,0,0,0,0,0,0,0
1383,ø,E,ø,ø,ø,ø,ø,ø,14,traduction,Non, Non,1383,0,2,0,0,0,0,0,0
1384,sesto,ø,vi°,vi°,ø,v°,sesto,ø,14,traduction,Non, Non,1384,2,0,2,2,0,3,2,0
1385,lo,ø,Lo,Lo,Et,Lo,Lo,ø,14,traduction,Non, Non,1385,3,0,3,3,1,3,3,0
1386,muy,ø,ø,muy,ø,muy,muy,ø,14,glose,Non, Non,1386,2,0,0,2,0,2,2,0
1387,ø,las,ø,ø,las,ø,ø,ø,14,glose,Non, Non,1387,0,1,0,0,1,0,0,0
1388,cristianos,cristianos,ø,cristianos,cristianos,cristianos,cristianos,ø,14,glose,Non, Non,1388,1,1,0,1,1,1,1,0
1389,es,es,es,es,es,ø,es,ø,14,glose,Non, Non,1389,1,1,1,1,1,0,1,0
1390,ø,señor,ø,ø,señor,ø,ø,ø,14,glose,Non, Non,1390,0,1,0,0,1,0,0,0
1391,ø,ø,ø,ø,su,ø,ø,ø,14,glose,Non, Non,1391,0,0,0,0,1,0,0,0
1392,al,ø,al,ø,ø,ø,al,ø,14,glose,Non, Non,1392,2,0,2,0,0,0,2,0
1393,les,les,les,les,les,ø,les,ø,14,glose,Non, Non,1393,1,1,1,1,1,0,1,0
1394,que,ø,que,que,que,que,ø,ø,14,glose,Non, Non,1394,1,0,1,1,1,1,0,0
1395,el,el,el,el,ø,el,el,ø,14,glose,Non, Non,1395,2,2,2,2,0,2,2,0
1396,ø,ø,ø,lugar,ø,lugar,ø,ø,14,glose,Non, Non,1396,0,0,0,2,0,2,0,0
1397,trabaioso,trabajoso,trabajosos,ø,trabajoso,áspero,trabajoso,ø,14,glose,Non, Non,1397,4,4,2,0,4,1,4,0
1398,el,el,el,el,ø,el,el,ø,14,glose,Non, Non,1398,2,2,2,2,0,2,2,0
1399,flacos,ø,flacos,flacos,ø,ø,ø,ø,14,glose,Non, Non,1399,2,0,2,2,0,0,0,0
1400,en,en,ø,en,en,en,en,ø,14,glose,Non, Non,1400,1,1,0,1,1,1,1,0
1401,el,el,el,el,ø,ø,el,ø,14,glose,Non, Non,1401,2,2,2,2,0,0,2,0
1402,todas,ø,ø,ø,ø,ø,ø,ø,14,glose,Non, Non,1402,2,0,0,0,0,0,0,0
1403,ø,a,a,a,a,a,a,ø,14,glose,Non, Non,1403,0,1,1,1,1,1,1,0
1404,ø,de,ø,ø,ø,ø,ø,ø,14,glose,Non, Non,1404,0,2,0,0,0,0,0,0
1405,o,ø,o,o,o,o,o,ø,14,glose,Non, Non,1405,1,0,1,1,1,1,1,0
1406,ninguno,ø,ninguno,ninguno,ø,ninguno,ninguno,ø,14,glose,Non, Non,1406,2,0,2,2,0,2,2,0
1407,se,se,se,se,se,se,ø,ø,14,glose,Non, Non,1407,1,1,1,1,1,1,0,0
1408,se,ø,ø,ø,ø,ø,se,ø,14,glose,Non, Non,1408,2,0,0,0,0,0,2,0
1409,ø,ø,quier,ø,ø,ø,ø,ø,14,glose,Non, Non,1409,0,0,2,0,0,0,0,0
1410,contra,ø,contra,contra,contra,contra,contra,ø,14,glose,Non, Non,1410,1,0,1,1,1,1,1,0
1411,te,ø,te,te,ø,te,te,ø,14,glose,Non, Non,1411,2,0,2,2,0,2,2,0
1412,muy,muy,ø,muy,muy,muy,muy,ø,14,glose,Non, Non,1412,1,1,0,1,1,1,1,0
1413,ø,ø,en,ø,ø,en,ø,ø,15,,Non, Non,1413,0,0,2,0,0,2,0,0
1414,de,ø,ø,de,ø,de,de,ø,15,,Non, Non,1414,2,0,0,2,0,2,2,0
1415,ø,ø,ø,le,ø,a,ø,ø,15,,Non, Non,1415,0,0,0,3,0,1,0,0
1416,les,les,ø,ø,les,sus,les,ø,15,,Non, Non,1416,1,1,0,0,1,2,1,0
1417,ø,ø,ø,ø,ø,ø,este,ø,15,traduction,Non, Non,1417,0,0,0,0,0,0,2,0
1418,commo,commo,commo,ø,commo,commo,ø,ø,15,traduction,Non, Non,1418,1,1,1,0,1,1,0,0
1419,ø,en,ø,commo,en,ø,como,ø,15,traduction,Non, Non,1419,0,4,0,2,4,0,1,0
1420,la,la,la,ø,la,ø,la,ø,15,traduction,Non, Non,1420,1,1,1,0,1,0,1,0
1421,ø,ø,es,ø,es,ø,ø,ø,15,traduction,Non, Non,1421,0,0,1,0,1,0,0,0
1422,de,ø,de,de,ø,de,de,ø,15,traduction,Non, Non,1422,2,0,2,2,0,2,2,0
1423,ø,ø,ø,ø,ø,Et,ø,ø,15,traduction,Non, Non,1423,0,0,0,0,0,2,0,0
1424,ø,manera,ø,ø,manera,ø,ø,ø,15,traduction,Non, Non,1424,0,1,0,0,1,0,0,0
1425,muy,muy,muy,ø,muy,ø,muy,ø,15,traduction,Non, Non,1425,1,1,1,0,1,0,1,0
1426,ø,ø,ø,mucho,ø,mucho,ø,ø,15,traduction,Non, Non,1426,0,0,0,2,0,2,0,0
1427,ø,el,ø,ø,ø,ø,ø,ø,15,traduction,Non, Non,1427,0,2,0,0,0,0,0,0
1428,las,las,ø,las,las,las,las,ø,15,traduction,Non, Non,1428,1,1,0,1,1,1,1,0
1429,ø,ø,e,ø,ø,ø,ø,ø,15,traduction,Non, Non,1429,0,0,2,0,0,0,0,0
1430,se,ø,se,se,ø,se,se,ø,15,traduction,Non, Non,1430,2,0,2,2,0,2,2,0
1431,ø,un,ø,ø,un,un,ø,ø,15,traduction,Non, Non,1431,0,1,0,0,1,1,0,0
1432,ø,se,ø,ø,se,ø,ø,ø,15,traduction,Non, Non,1432,0,1,0,0,1,0,0,0
1433,se,se,se,ø,se,ø,se,ø,15,traduction,Non, Non,1433,1,1,1,0,1,0,1,0
1434,el,el,el,el,ø,el,el,ø,15,traduction,Non, Non,1434,2,2,2,2,0,2,2,0
1435,el,el,el,el,ø,el,el,ø,15,traduction,Non, Non,1435,2,2,2,2,0,2,2,0
1436,que,que,que,que,que,ø,que,ø,15,traduction,Non, Non,1436,1,1,1,1,1,0,1,0
1437,ø,afinque,afirme,más,afinque,más,afirme,ø,15,traduction,Non, Non,1437,0,1,3,4,1,4,3,0
1438,firme,ø,ø,firme,ø,firme,ø,ø,15,traduction,Non, Non,1438,2,0,0,2,0,2,0,0
1439,el,el,ø,ø,el,ø,el,ø,15,traduction,Non, Non,1439,1,1,0,0,1,0,1,0
1440,ø,e,ø,ø,e,ø,ø,ø,15,traduction,Non, Non,1440,0,1,0,0,1,0,0,0
1441,ø,mejor,mejor,ø,mejor,mejor,ø,ø,15,traduction,Non, Non,1441,0,1,1,0,1,1,0,0
1442,ø,el,ø,el,ø,ø,el,ø,15,traduction,Non, Non,1442,0,2,0,2,0,0,2,0
1443,ø,ø,ø,ø,ø,enbía,ø,ø,15,traduction,Non, Non,1443,0,0,0,0,0,2,0,0
1444,ø,ø,ø,ø,e,ø,ø,ø,15,traduction,Non, Non,1444,0,0,0,0,1,0,0,0
1445,ø,los,los,los,los,los,los,ø,15,traduction,Non, Non,1445,0,1,1,1,1,1,1,0
1446,todo,todo,todo,todo,ø,todo,todo,ø,15,traduction,Non, Non,1446,2,2,2,2,0,2,2,0
1447,ø,ø,pie,ø,ø,ø,ø,ø,15,traduction,Non, Non,1447,0,0,2,0,0,0,0,0
1448,golpe,ø,golpe,golpe,golpe,golpe,golpe,ø,15,traduction,Non, Non,1448,1,0,1,1,1,1,1,0
1449,ø,ø,ø,ø,ø,Et,ø,ø,15,traduction,Non, Non,1449,0,0,0,0,0,2,0,0
1450,ø,ø,en,ø,ø,ø,ø,ø,15,traduction,Non, Non,1450,0,0,2,0,0,0,0,0
1451,ø,a,ø,ø,a,ø,ø,ø,15,traduction,Non, Non,1451,0,1,0,0,1,0,0,0
1452,los,ø,los,los,ø,los,ø,ø,15,traduction,Non, Non,1452,2,0,2,2,0,2,0,0
1453,ø,los,ø,ø,los,ø,los,ø,15,traduction,Non, Non,1453,0,1,0,0,1,0,1,0
1454,los,los,los,los,los,ø,los,ø,15,traduction,Non, Non,1454,1,1,1,1,1,0,1,0
1455,mas,mayor,más,más,ø,más,mas,ø,15,traduction,Non, Non,1455,3,1,3,3,0,3,3,0
1456,ø,en,en,en,en,en,en,ø,15,traduction,Non, Non,1456,0,1,1,1,1,1,1,0
1457,la,la,ø,la,la,,la,ø,15,traduction,Non, Non,1457,1,1,0,1,1,1,1,0
1458,ø,deven,ø,ø,deven,ø,ø,ø,15,traduction,Non, Non,1458,0,1,0,0,1,0,0,0
1459,ninguno,ø,ninguno,ninguno,ø,ninguno,ninguno,ø,15,traduction,Non, Non,1459,2,0,2,2,0,2,2,0
1460,estonde,estonçe,estonçes,entonçe,ø,entonçe,estonçe,ø,15,traduction,Non, Non,1460,3,1,1,1,0,1,1,0
1461,ø,o,ø,ø,o,ø,ø,ø,15,traduction,Non, Non,1461,0,1,0,0,1,0,0,0
1462,ø,dellos,ø,ø,dellos,ø,ø,ø,15,traduction,Non, Non,1462,0,1,0,0,1,0,0,0
1463,los,ø,ø,ø,ø,ø,ø,ø,15,traduction,Non, Non,1463,2,0,0,0,0,0,0,0
1464,ø,ø,ø,ø,las,ø,ø,ø,15,traduction,Non, Non,1464,0,0,0,0,1,0,0,0
1465,ø,ø,ø,ø,de,ø,ø,ø,15,traduction,Non, Non,1465,0,0,0,0,1,0,0,0
1466,ø,a,ø,ø,a,ø,ø,ø,15,traduction,Non, Non,1466,0,1,0,0,1,0,0,0
1467,ø,ø,ø,ø,deven,ø,ø,ø,15,traduction,Non, Non,1467,0,0,0,0,1,0,0,0
1468,ø,bien,ø,ø,bien,ø,ø,ø,15,traduction,Non, Non,1468,0,1,0,0,1,0,0,0
1469,non,non,non,non,ø,non,non,ø,15,traduction,Non, Non,1469,2,2,2,2,0,2,2,0
1470,ø,ø,ø,ø,non,ø,ø,ø,15,traduction,Non, Non,1470,0,0,0,0,1,0,0,0
1471,ø,ø,ø,ø,ø,ø,los,ø,15,traduction,Non, Non,1471,0,0,0,0,0,0,2,0
1472,los,ø,los,los,ø,los,los,ø,15,traduction,Non, Non,1472,2,0,2,2,0,2,2,0
1473,sus,sus,sus,ø,sus,ø,sus,ø,15,traduction,Non, Non,1473,1,1,1,0,1,0,1,0
1474,que,que,que,ø,ø,ø,que,ø,15,traduction,Non, Non,1474,2,2,2,0,0,0,2,0
1475,ø,ø,ø,ø,cabtela,ø,ø,ø,15,traduction,Non, Non,1475,0,0,0,0,1,0,0,0
1476,que,que,que,que,ø,que,que,ø,15,traduction,Non, Non,1476,2,2,2,2,0,2,2,0
1477,de,ø,de,de,de,de,de,ø,15,traduction,Non, Non,1477,1,0,1,1,1,1,1,0
1478,ø,ø,ø,bien,ø,bien,ø,ø,15,traduction,Non, Non,1478,0,0,0,2,0,2,0,0
1479,en,a,en,en,ø,en,en,ø,15,traduction,Non, Non,1479,3,1,3,3,0,3,3,0
1480,en,en,en,en,ø,en,en,ø,15,traduction,Non, Non,1480,2,2,2,2,0,2,2,0
1481,ø,se,ø,ø,se,ø,ø,ø,15,traduction,Non, Non,1481,0,1,0,0,1,0,0,0
1482,ø,ø,ø,ø,ø,ø,en,ø,15,glose,Non, Non,1482,0,0,0,0,0,0,2,0
1483,que,que,que,que,ø,ø,que,ø,15,glose,Non, Non,1483,2,2,2,2,0,0,2,0
1484,todos,todos,todos,todos,ø,todos,todos,ø,15,glose,Non, Non,1484,2,2,2,2,0,2,2,0
1485,ø,el,ø,ø,el,ø,ø,ø,15,glose,Non, Non,1485,0,1,0,0,1,0,0,0
1486,que,ø,ø,ø,que,ø,ø,ø,15,glose,Non, Non,1486,1,0,0,0,1,0,0,0
1487,ø,allí,ø,ø,allí,ø,ø,ø,15,glose,Non, Non,1487,0,1,0,0,1,0,0,0
1488,en,en,en,en,ø,en,en,ø,15,glose,Non, Non,1488,2,2,2,2,0,2,2,0
1489,ø,ø,ø,ø,ø,distinçión,ø,ø,15,glose,Non, Non,1489,0,0,0,0,0,2,0,0
1490,ø,ø,es,ø,ø,ø,ø,ø,15,glose,Non, Non,1490,0,0,2,0,0,0,0,0
1491,ø,a,ø,ø,a,ø,ø,ø,15,glose,Non, Non,1491,0,1,0,0,1,0,0,0
1492,o,o,o,o,ø,o,o,ø,15,glose,Non, Non,1492,2,2,2,2,0,2,2,0
1493,de,ø,de,de,de,de,de,ø,15,glose,Non, Non,1493,1,0,1,1,1,1,1,0
1494,ø,ø,ø,ø,e,ø,ø,ø,15,glose,Non, Non,1494,0,0,0,0,1,0,0,0
1495,que,que,que,que,ø,que,que,ø,15,glose,Non, Non,1495,2,2,2,2,0,2,2,0
1496,de,de,de,de,ø,ø,de,ø,15,glose,Non, Non,1496,2,2,2,2,0,0,2,0
1497,que,que,que,que,ø,que,que,ø,15,glose,Non, Non,1497,2,2,2,2,0,2,2,0
1498,el,el,ø,el,el,ø,el,ø,15,glose,Non, Non,1498,1,1,0,1,1,0,1,0
1499,de,de,de,de,ø,de,de,ø,15,glose,Non, Non,1499,2,2,2,2,0,2,2,0
1500,ø,ø,ø,de,ø,ø,ø,ø,15,glose,Non, Non,1500,0,0,0,2,0,0,0,0
1501,otros,otros,otros,otros,ø,otros,otros,ø,15,glose,Non, Non,1501,2,2,2,2,0,2,2,0
1502,ø,ø,ø,ø,otros,ø,ø,ø,15,glose,Non, Non,1502,0,0,0,0,1,0,0,0
1503,ø,ø,ø,e,ø,ø,ø,ø,15,glose,Non, Non,1503,0,0,0,2,0,0,0,0
1504,ø,ø,ø,ø,ø,o,ø,ø,15,glose,Non, Non,1504,0,0,0,0,0,2,0,0
1505,ø,el,el,el,el,el,el,ø,15,glose,Non, Non,1505,0,1,1,1,1,1,1,0
1506,ø,ø,ø,ø,las,ø,ø,ø,15,glose,Non, Non,1506,0,0,0,0,1,0,0,0
1507,es,es,es,es,es,ø,es,ø,15,glose,Non, Non,1507,1,1,1,1,1,0,1,0
1508,suzio,suzio,ø,suzio,ø,suzio,suzio,ø,15,glose,Non, Non,1508,2,2,0,2,0,2,2,0
1509,ø,Et,ø,ø,Et,ø,ø,ø,15,glose,Non, Non,1509,0,1,0,0,1,0,0,0
1510,a,ø,ø,ø,ø,ø,ø,ø,15,glose,Non, Non,1510,2,0,0,0,0,0,0,0
1511,faze,faze,faze,faze,faze,ø,faze,ø,15,glose,Non, Non,1511,1,1,1,1,1,0,1,0
1512,ø,ø,Et,ø,ø,ø,ø,ø,15,glose,Non, Non,1512,0,0,2,0,0,0,0,0
1513,que,que,que,que,ø,que,que,ø,15,glose,Non, Non,1513,2,2,2,2,0,2,2,0
1514,ø,sus,sus,sus,ø,sus,sus,ø,15,glose,Non, Non,1514,0,2,2,2,0,2,2,0
1515,o,o,o,o,ø,o,o,ø,15,glose,Non, Non,1515,2,2,2,2,0,2,2,0
1516,ø,Et,Et,ø,Et,ø,ø,ø,15,glose,Non, Non,1516,0,1,1,0,1,0,0,0
1517,de,ø,de,de,de,de,de,ø,15,glose,Non, Non,1517,1,0,1,1,1,1,1,0
1518,ø,ø,de,ø,ø,ø,ø,ø,15,glose,Non, Non,1518,0,0,2,0,0,0,0,0
1519,al,capítulo,al,ø,capítulo,ø,al,ø,15,glose,Non, Non,1519,3,2,3,0,2,0,3,0
1520,ø,ø,ø,ø,son,ø,ø,ø,16,,Non, Non,1520,0,0,0,0,1,0,0,0
1521,ø,en,en,en,en,en,en,ø,16,,Non, Non,1521,0,1,1,1,1,1,1,0
1522,el,el,ø,el,ø,ø,el,ø,16,,Non, Non,1522,2,2,0,2,0,0,2,0
1523,las,las,ø,las,las,ø,las,ø,16,,Non, Non,1523,1,1,0,1,1,0,1,0
1524,toda,ø,toda,toda,ø,toda,toda,ø,16,traduction,Non, Non,1524,2,0,2,2,0,2,2,0
1525,es,es,es,es,ø,es,es,ø,16,traduction,Non, Non,1525,2,2,2,2,0,2,2,0
1526,ø,ø,ø,ø,ø,es,ø,ø,16,traduction,Non, Non,1526,0,0,0,0,0,2,0,0
1527,en,en,en,ø,en,en,en,ø,16,traduction,Non, Non,1527,1,1,1,0,1,1,1,0
1528,ø,ø,ø,ø,ø,et,ø,ø,16,traduction,Non, Non,1528,0,0,0,0,0,2,0,0
1529,ø,et,ø,ø,ø,ø,ø,ø,16,traduction,Non, Non,1529,0,2,0,0,0,0,0,0
1530,de,ø,de,de,ø,de,de,ø,16,traduction,Non, Non,1530,2,0,2,2,0,2,2,0
1531,ø,ø,ø,ø,la,ø,ø,ø,16,traduction,Non, Non,1531,0,0,0,0,1,0,0,0
1532,es,es,es,es,ø,es,es,ø,16,traduction,Non, Non,1532,2,2,2,2,0,2,2,0
1533,ø,Et,Et,ø,Et,ø,ø,ø,16,traduction,Non, Non,1533,0,1,1,0,1,0,0,0
1534,ø,en,ø,en,de,ø,ø,ø,16,traduction,Non, Non,1534,0,1,0,1,3,0,0,0
1535,ø,Et,Et,ø,Et,ø,ø,ø,16,traduction,Non, Non,1535,0,1,1,0,1,0,0,0
1536,es,es,es,ø,es,ø,es,ø,16,traduction,Non, Non,1536,1,1,1,0,1,0,1,0
1537,ø,ø,ø,es,ø,es,ø,ø,16,traduction,Non, Non,1537,0,0,0,2,0,2,0,0
1538,se,ø,se,se,ø,se,se,ø,16,traduction,Non, Non,1538,2,0,2,2,0,2,2,0
1539,ø,se,ø,ø,se,ø,ø,ø,16,traduction,Non, Non,1539,0,1,0,0,1,0,0,0
1540,la,ø,la,ø,ø,ø,la,ø,16,traduction,Non, Non,1540,2,0,2,0,0,0,2,0
1541,ø,los,ø,ø,los,ø,ø,ø,16,traduction,Non, Non,1541,0,1,0,0,1,0,0,0
1542,ø,les,ø,ø,los,ø,ø,ø,16,traduction,Non, Non,1542,0,2,0,0,1,0,0,0
1543,ø,Et,Et,ø,Et,ø,ø,ø,16,traduction,Non, Non,1543,0,1,1,0,1,0,0,0
1544,ø,ø,ø,es,ø,ø,ø,ø,16,traduction,Non, Non,1544,0,0,0,2,0,0,0,0
1545,es,es,es,ø,ø,es,es,ø,16,traduction,Non, Non,1545,2,2,2,0,0,2,2,0
1546,batalla,batalla,batalla,batalla,batalla,ø,batalla,ø,16,traduction,Non, Non,1546,1,1,1,1,1,0,1,0
1547,la,ø,ø,ø,ø,ø,la,ø,16,traduction,Non, Non,1547,2,0,0,0,0,0,2,0
1548,la,ø,la,la,ø,la,la,ø,16,traduction,Non, Non,1548,2,0,2,2,0,2,2,0
1549,de,de,de,ø,de,ø,de,ø,16,traduction,Non, Non,1549,1,1,1,0,1,0,1,0
1550,ø,ø,ø,ø,tres,ø,ø,ø,16,traduction,Non, Non,1550,0,0,0,0,1,0,0,0
1551,dichas,dichas,dichas,dichas,dichas,ø,dichas,ø,16,traduction,Non, Non,1551,1,1,1,1,1,0,1,0
1552,ø,ø,ø,ø,ø,susodichas,ø,ø,16,traduction,Non, Non,1552,0,0,0,0,0,2,0,0
1553,ø,lidiar,ø,ø,lidiar,ø,ø,ø,16,traduction,Non, Non,1553,0,1,0,0,1,0,0,0
1554,ø,el,el,el,el,el,el,ø,16,traduction,Non, Non,1554,0,1,1,1,1,1,1,0
1555,la,la,ø,la,la,la,ø,ø,16,traduction,Non, Non,1555,1,1,0,1,1,1,0,0
1556,el,el,el,ø,el,el,el,ø,16,traduction,Non, Non,1556,1,1,1,0,1,1,1,0
1557,ø,ø,lo,ø,ø,ø,ø,ø,16,traduction,Non, Non,1557,0,0,2,0,0,0,0,0
1558,que,que,que,que,ø,ø,que,ø,16,traduction,Non, Non,1558,2,2,2,2,0,0,2,0
1559,ø,ø,ø,ø,quando,ø,ø,ø,16,traduction,Non, Non,1559,0,0,0,0,1,0,0,0
1560,quando,quando,quando,quando,ø,quando,quando,ø,16,traduction,Non, Non,1560,2,2,2,2,0,2,2,0
1561,ø,el,el,el,el,el,el,ø,16,traduction,Non, Non,1561,0,1,1,1,1,1,1,0
1562,que,que,que,que,que,ø,que,ø,16,traduction,Non, Non,1562,1,1,1,1,1,0,1,0
1563,el,ø,el,ø,ø,ø,el,ø,16,traduction,Non, Non,1563,2,0,2,0,0,0,2,0
1564,las,ø,las,las,ø,las,las,ø,16,glose,Non, Non,1564,2,0,2,2,0,2,2,0
1565,ø,ø,e,ø,ø,ø,ø,ø,16,glose,Non, Non,1565,0,0,2,0,0,0,0,0
1566,ø,ø,ø,ø,algunos,ø,ø,ø,16,glose,Non, Non,1566,0,0,0,0,1,0,0,0
1567,de,de,de,de,ø,de,de,ø,16,glose,Non, Non,1567,2,2,2,2,0,2,2,0
1568,ø,a,ø,ø,a,ø,ø,ø,16,glose,Non, Non,1568,0,1,0,0,1,0,0,0
1569,vayan,ø,vayan,vayan,ø,vayan,vayan,ø,16,glose,Non, Non,1569,2,0,2,2,0,2,2,0
1570,ø,ø,ø,ø,a,que,ø,ø,16,glose,Non, Non,1570,0,0,0,0,2,3,0,0
1571,ayuda,ayuda,ayuda,ø,ayudar,ø,ayuda,ø,16,glose,Non, Non,1571,3,3,3,0,2,0,3,0
1572,ø,ø,ø,ayuda,ø,ø,ø,ø,16,glose,Non, Non,1572,0,0,0,2,0,0,0,0
1573,ø,de,ø,ø,ø,ø,ø,ø,16,glose,Non, Non,1573,0,2,0,0,0,0,0,0
1574,ø,ø,ø,ø,ellos,ø,ø,ø,16,glose,Non, Non,1574,0,0,0,0,1,0,0,0
1575,ø,ø,tendidas,ø,ø,ø,ø,ø,16,glose,Non, Non,1575,0,0,2,0,0,0,0,0
1576,la,ø,la,la,ø,la,la,ø,16,glose,Non, Non,1576,2,0,2,2,0,2,2,0
1577,que,que,que,que,ø,que,que,ø,16,glose,Non, Non,1577,2,2,2,2,0,2,2,0
