Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U,Notes,Index
1952,dar,golpear,dar,dar,dar,dar,dar,ø,15,traduction,Non, Non,1952,1,2,1,1,1,1,1,NA,,1952
1953,sinestra,syniestra,siniestra,siniestra,siniestra,syniestra,siniestra,ø,15,traduction,Non, Non,1953,2,1,1,1,1,1,1,NA,,1953
1954,do,donde,do,do,donde,do,do,ø,15,traduction,Non, Non,1954,2,1,2,2,1,2,2,NA,,1954
1955,Quando,Quanto,Quanto,Quanto,Quanto,quanto,Quanto,ø,15,traduction,Non, Non,1955,2,1,1,1,1,1,1,NA,,1955
1956,los,les,los,los,los,los,los,ø,15,traduction,Non, Non,1956,1,2,1,1,1,1,1,NA,,1956
1957,quede,finque,quede,quede,finque,quede,quede,ø,15,traduction,Oui, Non,1957,2,1,2,2,1,2,2,NA,,1957
1958,e,o,e,e,o,e,e,ø,15,traduction,Non, Non,1958,2,1,2,2,1,2,2,NA,,1958
1959,encerrasen,ençerrasen,ençerrasen,ençerrassen,ençerrasen,ençerrasen,encerrasen,ø,15,traduction,Non, Non,1959,2,2,2,1,2,2,2,NA,,1959
1960,brauamente,bravamente,bravamente,bravamente,bravamente,bravamente,brauamente,ø,15,traduction,Non, Non,1960,2,1,1,1,1,1,2,NA,,1960
1961,enellos,ellos,ellos,ellos,ellos,ello,ellos,ø,15,traduction,Non, Non,1961,2,3,3,3,3,1,3,NA,,1961
1962,alaba,ø,alababa,alaba,ø,alaba,alaba,ø,15,traduction,Non, Non,1962,2,0,1,2,0,2,2,NA,,1962
1963,de,de,de,de,e,de,de,ø,15,traduction,Non, Non,1963,2,2,2,2,1,2,2,NA,,1963
1964,de,ser,de,de,ser,de,de,ø,15,traduction,Non, Non,1964,2,1,2,2,1,2,2,NA,,1964
1965,deuenles,dévenles,dévenles,deven,dévenles,deven,deuenles,ø,15,traduction,Non, Non,1965,2,2,2,1,2,1,2,NA,,1965
1966,dexar,dexar,dexar,dexarles,dexar,dexarles,dexar,ø,15,traduction,Non, Non,1966,1,1,1,2,1,2,1,NA,,1966
1967,dello,dellos,dello,dellos,dellos,dellos,dellos,ø,15,traduction,Non, Non,1967,2,1,2,1,1,1,1,NA,,1967
1968,como,co,commo,commo,commo,commo,como,ø,15,traduction,Non, Non,1968,1,2,3,3,3,3,1,NA,,1968
1969,los,se,se,se,se,se,los,ø,15,traduction,Non, Non,1969,2,1,1,1,1,1,2,NA,,1969
1970,ay,ay,ay,hay,ay,ay,ay,ø,15,traduction,Non, Non,1970,1,1,1,2,1,1,1,NA,,1970
1971,E,o,o,e,o,o,O,ø,15,traduction,Non, Non,1971,1,2,2,1,2,2,2,NA,,1971
1972,e,e,e,e,o,e,e,ø,15,traduction,Non, Non,1972,2,2,2,2,1,2,2,NA,,1972
1973,e,o,o,e,o,e,e,ø,15,traduction,Non, Non,1973,2,1,1,2,1,2,2,NA,,1973
1974,quando,quando,quando,quando,ya,quando,quando,ø,15,traduction,Non, Non,1974,2,2,2,2,1,2,2,NA,,1974
1975,ferir,ferirlos,ferirlos,ferirlos,ferirlos,ferirlos,ferirlos,ø,15,traduction,Non, Non,1975,2,1,1,1,1,1,1,NA,,1975
1976,deuiesen,oviesen,deviesen,deviesen,oviesen,deviesen,deuiesen,ø,15,traduction,Oui, Non,1976,1,2,1,1,2,1,1,NA,,1976
1977,saluo,sacado,salvo,salvo,sacando,salvo,saluo,ø,15,traduction,Oui, Non,1977,2,1,2,2,1,2,2,NA,,1977
1978,Quanto,Quanto,Quanto,Quanto,Quando,Quanto,Quanto,ø,15,traduction,Non, Non,1978,2,2,2,2,1,2,2,NA,,1978
1979,qual,quál,quál,quál,quál,qualquiera,qual,ø,15,traduction,Non, Non,1979,2,2,2,2,2,1,2,NA,,1979
1980,si,sy,si,si,si,sy,sy,ø,15,traduction,Non, Non,1980,1,2,1,1,1,2,2,NA,,1980
1981,alguno,ninguno,alguno,alguno,ninguno,alguno,alguno,ø,15,traduction,Non, Non,1981,2,1,2,2,1,2,2,NA,,1981
1982,fuyrian,fuyrién,fuyrían,fuyríen,fuyrían,fuyrían,fuyrian,ø,15,traduction,Non, Non,1982,2,1,1,1,1,1,2,NA,,1982
1983,matarlos,matarlos,matarlos,matarlos,matarlos,matarlos,matar,ø,15,traduction,Non, Non,1983,1,1,1,1,1,1,2,NA,,1983
1984,o,e,o,o,e,o,o,ø,15,traduction,Non, Non,1984,2,1,2,2,1,2,2,NA,,1984
1985,brauamente,bravamente,bravamente,bravamente,bravamente,bravamente,brauamente,ø,15,traduction,Non, Non,1985,2,1,1,1,1,1,2,NA,,1985
1986,que,que,que,que,que,quél,que,ø,15,traduction,Non, Non,1986,1,1,1,1,1,2,1,NA,,1986
1987,brauamente,bravamente,bravamente,bravamente,bravamente,bravamente,brauamente,ø,15,traduction,Non, Non,1987,2,1,1,1,1,1,2,NA,,1987
1988,cauallo,cavallo,cavallo,cavallo,cavallo,cavallero,cauallo,ø,15,traduction,Non, Non,1988,2,2,2,2,2,1,2,NA,,1988
1989,departir,partir,departyr,departir,departyr,departir,,ø,15,traduction,Non, Non,1989,3,1,3,3,3,3,2,NA,,1989
1990,a,a,allí,a,allá,a,a,ø,15,traduction,Non, Non,1990,3,3,2,3,1,3,3,NA,,1990
1991,defenderse,defender,defenderse,defenderse,defender,defenderse,defenderse,ø,15,traduction,Non, Non,1991,2,1,2,2,1,2,2,NA,,1991
1992,el,el,el,el,el,quel,el,ø,15,glose,Non, Non,1992,1,1,1,1,1,2,1,NA,,1992
1993,ese,ese,ese,esse,este,ese,esse,ø,15,glose,Non, Non,1993,2,2,2,2,1,2,2,NA,,1993
1994,que,qual,que,que,qual,que,que,ø,15,glose,Non, Non,1994,2,1,2,2,1,2,2,NA,,1994
1995,acometimiento,cometimiento,acometimiento,acometimiento,comendamiento,acometimiento,acometimiento,ø,15,glose,Non, Non,1995,1,1,1,1,2,1,1,NA,,1995
1996,de,de,de,de,de,dar,de,ø,15,glose,Non, Non,1996,1,1,1,1,1,2,1,NA,,1996
1997,E,Et,Et,E,que,Et,E,ø,15,glose,Non, Non,1997,1,2,2,1,3,2,1,NA,,1997
1998,Ca,ca,ca,ca,e,Ca,Ca,ø,15,glose,Non, Non,1998,2,2,2,2,1,2,2,NA,,1998
1999,afiar,afiar,afiar,afiar,desafiar,desafiar,fiar,ø,15,glose,Oui, Non,1999,2,2,2,2,3,3,1,NA,,1999
2000,afiare,afiaren,afiare,afiaren,afiaren,afiaren,fiare,ø,15,glose,Non, Non,2000,1,3,1,3,3,3,2,NA,,2000
2001,ello,ello,ello,ellos,ello,ello,ello,ø,15,glose,Non, Non,2001,1,1,1,2,1,1,1,NA,,2001
2002,afiar,afiar,afiar,afiar,afiar,afiar,fiar,ø,15,glose,Non, Non,2002,1,1,1,1,1,1,2,NA,,2002
2003,destas,destas,destas,estas,destas,destas,destas,ø,15,glose,Non, Non,2003,1,1,1,2,1,1,1,NA,,2003
2004,ello,ello,ello,ello,ellos,ello,ello,ø,15,glose,Non, Non,2004,2,2,2,2,1,2,2,NA,,2004
2005,o,o,o,o,nin,o,o,ø,15,glose,Non, Non,2005,2,2,2,2,1,2,2,NA,,2005
2006,aun,aun,aun,aún,aun,aun,avn,ø,15,glose,Non, Non,2006,2,2,2,2,2,2,1,NA,,2006
2007,asi,asý,así,así,si,asý,asi,ø,15,glose,Non, Non,2007,1,1,1,1,2,1,1,NA,,2007
2008,guardan,guardan,guardan,guardan,,guardan,guardan,ø,15,glose,Non, Non,2008,2,2,2,2,1,2,2,NA,,2008
2009,desdezir,desdezir,desdezir,desdezir,desdezir,dezir,desdezir,ø,15,glose,Oui, Non,2009,1,1,1,1,1,2,1,NA,,2009
2010,ellos,ellos,ellos,los,ellos,ellos,ellos,ø,15,glose,Non, Non,2010,1,1,1,2,1,1,1,NA,,2010
2011,enel,en,en,en,en,en,en,ø,15,glose,Non, Non,2011,2,1,1,1,1,1,1,NA,,2011
2012,Ca,e,Ca,ca,Ca,ca,Ca,ø,15,glose,Non, Non,2012,2,1,2,2,2,2,2,NA,,2012
2013,pasandolas,pasándolas,pasándolas,passándolas,pasado,pasándolas,passandolas,ø,15,glose,Non, Non,2013,1,1,1,1,2,1,1,NA,,2013
2014,O,Et,E,o,e,O,O,ø,15,glose,Non, Non,2014,2,3,1,2,1,2,2,NA,,2014
2015,caualleros,cavalleros,cavallero,cavallos,ø,cavalleros,caualleros,ø,15,glose,Oui, Non,2015,2,2,1,3,0,2,2,NA,,2015
2016,o,e,o,o,ø,o,o,ø,15,glose,Non, Non,2016,2,1,2,2,0,2,2,NA,,2016
2017,con,en,con,con,en,con,con,ø,15,glose,Non, Non,2017,2,1,2,2,1,2,2,NA,,2017
2018,efuraçion,efurçión,efuraçión,ofuraçión,efurçión,ofuraçión,efuracion,ø,15,glose,Non, Non,2018,2,1,1,1,1,1,1,NA,,2018
2019,si,asý,así,asý,así,asý,asy,ø,15,glose,Non, Non,2019,2,1,1,1,1,1,1,NA,,2019
2020,non,non,non,non,non,synon,non,ø,15,glose,Non, Non,2020,1,1,1,1,1,2,1,NA,,2020
2021,desus,de,de,de,ø,de,de,ø,15,glose,Non, Non,2021,2,1,1,1,0,1,1,NA,,2021
2022,soldadas,soldadas,soldadas,soldadas,padres,soldadas,soldadas,ø,15,glose,Oui, Non,2022,2,2,2,2,1,2,2,NA,,2022
2023,ganan,ganan,ganan,ganan,deven,gana,ganan,ø,15,glose,Oui, Non,2023,2,2,2,2,1,3,2,NA,,2023
2024,o,e,e,o,ø,o,o,ø,15,glose,Non, Non,2024,2,1,1,2,0,2,2,NA,,2024
2025,han,ganan,an,ganan,ganan,ganan,han,ø,15,glose,Non, Non,2025,2,1,2,1,1,1,2,NA,,2025
2026,bienes,buenos,bienes,bienes,bienes,bienes,bienes,ø,15,glose,Oui, Non,2026,1,2,1,1,1,1,1,NA,,2026
2027,proueer,proveer,proveer,proveer,proveer,poner,proueer,ø,15,glose,Oui, Non,2027,1,1,1,1,1,2,1,NA,,2027
2028,proueza,probeza,pobreza,pobreza,pobreza,proveza,pobreza,ø,15,glose,Non, Non,2028,1,1,2,2,2,2,2,NA,,2028
2029,a,en,a,a,a,a,a,ø,15,glose,Non, Non,2029,1,2,1,1,1,1,1,NA,,2029
2030,sesto,vi,vi°,vi°,vi°,sesto,sexto,ø,15,glose,Non, Non,2030,2,2,2,2,2,2,1,NA,,2030
2031,xvj°,xvi,xvi°,xvi,·xvi·,xvi,xvj,ø,16,,Non, Non,2031,2,1,4,1,3,1,1,NA,,2031
2032,quantas,quántas,quántas,quántas,quántas,quántos,quantas,ø,16,,Non, Non,2032,1,2,2,2,2,3,1,NA,,2032
2033,maneras,maneras,maneras,maneras,maneras,linajes,maneras,ø,16,,Non, Non,2033,1,1,1,1,1,2,1,NA,,2033
2034,enquantas,quántas,quántas,quántas,quántas,quántas,quantas,ø,16,,Non, Non,2034,1,2,2,2,2,2,2,NA,,2034
2035,vençer,vençer,vençer,vençer,vençer,ganar,vencer,ø,16,,Oui, Non,2035,1,1,1,1,1,2,1,NA,,2035
2036,cercar,çercar,çercarlas,çercar,çercar,ø,cercar,ø,16,,Non, Non,2036,1,1,2,1,1,0,1,NA,,2036
2037,ø,ø,ø,ø,tienpo,n,ø,ø,16,traduction,Non, Non,2037,0,0,0,0,1,2,0,NA,,2037
2038,qual,quál,quál,quál,quál,qué,qual,ø,16,traduction,Non, Non,2038,2,2,2,2,2,1,2,NA,,2038
2039,deuen,deven,deve,deven,deven,es,deuen,ø,16,traduction,Non, Non,2039,2,2,1,2,2,3,2,NA,,2039
2040,quanto,quando,quanto,quanto,quanto,quando,quanto,ø,16,traduction,Non, Non,2040,1,2,1,1,1,2,1,NA,,2040
2041,encerrar,çercar,ençerrar,çercar,çercar,ençerrar,encerrar,ø,16,traduction,Non, Non,2041,1,2,1,2,2,1,1,NA,,2041
2042,cercadora,çercadora,çercadora,çercadora,çercadora,çercadora,cercadora,ø,16,traduction,Non, Non,2042,2,1,1,1,1,1,2,NA,,2042
2043,de,de,de,de,dicha,de,de,ø,16,traduction,Non, Non,2043,2,2,2,2,1,2,2,NA,,2043
2044,saluo,sacado,salvo,salvo,sacando,salvo,saluo,ø,16,traduction,Non, Non,2044,1,3,1,1,3,1,1,NA,,2044
2045,ley,lid,lid,ley,ley,batalla,ley,ø,16,traduction,Oui, Non,2045,1,2,2,1,1,3,1,NA,,2045
2046,cercan,çerca,çercan,çercan,çercan,çercan,cercan,ø,16,traduction,Non, Non,2046,2,1,2,2,2,2,2,NA,,2046
2047,los,aquellos,lo,los,aquéllos,lo,los,ø,16,traduction,Non, Non,2047,3,1,2,3,1,2,3,NA,,2047
2048,cercadores,çercados,ençerrados,çercadores,cercados,çercadores,cercadores,ø,16,traduction,Non, Non,2048,4,2,3,4,1,4,4,NA,,2048
2049,batalla,batalla,batalla,batalla,linaje,batalla,batalla,ø,16,traduction,Oui, Non,2049,2,2,2,2,1,2,2,NA,,2049
2050,o,o,e,o,ø,o,o,ø,16,traduction,Non, Non,2050,2,2,1,2,0,2,2,NA,,2050
2051,Ca,Ca,Et,Ca,ø,Ca,Ca,ø,16,traduction,Non, Non,2051,2,2,1,2,0,2,2,NA,,2051
2052,de,del,de,de,del,de,de,ø,16,traduction,Non, Non,2052,2,1,2,2,1,2,2,NA,,2052
2053,naual,naval,naval,naval,natural,naval,naual,ø,16,traduction,Oui, Non,2053,2,2,2,2,1,2,2,NA,,2053
2054,mar,manera,mar,mar,manera,mar,mar,ø,16,traduction,Non, Non,2054,2,1,2,2,1,2,2,NA,,2054
2055,o,o,o,o,en,o,o,ø,16,traduction,Non, Non,2055,2,2,2,2,1,2,2,NA,,2055
2056,artes,tres,artes,artes,maneras,artes,artes,ø,16,traduction,Non, Non,2056,3,1,3,3,2,3,3,NA,,2056
2057,en,por,en,en,ø,en,en,ø,16,traduction,Non, Non,2057,1,2,1,1,0,1,1,NA,,2057
2058,a,han,a,a,ellos,a,a,ø,16,traduction,Non, Non,2058,2,1,2,2,3,2,2,NA,,2058
2059,puertos,puertos,puertos,puertos,çercan,puertos,puertos,ø,16,traduction,Oui, Non,2059,2,2,2,2,1,2,2,NA,,2059
2060,enel,en,en,en,en,en,en,ø,16,traduction,Non, Non,2060,2,1,1,1,1,1,1,NA,,2060
2061,e,e,e,e,e,nin,e,ø,16,traduction,Non, Non,2061,1,1,1,1,1,2,1,NA,,2061
2062,ella,ellas,ella,ella,ella,ellas,ella,ø,16,traduction,Non, Non,2062,1,2,1,1,1,2,1,NA,,2062
2063,,maneras,maneras,maneras,maneras,maneras,maneras,ø,16,traduction,Non, Non,2063,2,1,1,1,1,1,1,NA,,2063
2064,gela,gela,gelas,gela,gela,gela,gela,ø,16,traduction,Non, Non,2064,1,1,2,1,1,1,1,NA,,2064
2065,quitar,tirar,quitar,quitar,tyrar,quitar,quitar,ø,16,traduction,Non, Non,2065,2,1,2,2,1,2,2,NA,,2065
2066,caños,caños,caños,caños,caños,caños,canos,ø,16,traduction,Non, Non,2066,1,1,1,1,1,1,2,NA,,2066
2067,deuengelos,dévengelos,dévegelos,dévengelos,devengelos,dévengelos,deuengelos,ø,16,traduction,Non, Non,2067,1,1,2,1,3,1,1,NA,,2067
2068,pasos,pasos,pasos,pissos,pasos,pasos,passos,ø,16,traduction,Non, Non,2068,1,1,1,2,1,1,1,NA,,2068
2069,carreras,carreras,carreras,carreteras,carreras,carreras,carreras,ø,16,traduction,Non, Non,2069,1,1,1,2,1,1,1,NA,,2069
2070,çercados,çercados,cercados,çercados,çercados,çercados,cercados,ø,16,traduction,Non, Non,2070,1,1,2,1,1,1,2,NA,,2070
2071,el,el,el,el,quel,quel,el,ø,16,traduction,Non, Non,2071,2,2,2,2,1,1,2,NA,,2071
2072,cercadores,çercadores,cercadores,çercadores,çercados,çercadores,cercadores,ø,16,traduction,Non, Non,2072,1,1,1,1,2,1,1,NA,,2072
2073,dentro,dentro,dentro,dentro,fuera,dentro,dentro,ø,16,traduction,Oui, Non,2073,2,2,2,2,1,2,2,NA,,2073
2074,manos,narizes,manos,manos,ø,manos,manos,ø,16,traduction,Non, Non,2074,1,2,1,1,0,1,1,NA,,2074
2075,e,e,e,e,que,e,e,ø,16,traduction,Non, Non,2075,2,2,2,2,1,2,2,NA,,2075
2076,fazenles,fázenles,fázenlos,fázenles,ø,fázenles,fazenles,ø,16,traduction,Non, Non,2076,2,2,1,2,0,2,2,NA,,2076
2077,les,les,les,los,les,les,les,ø,16,traduction,Non, Non,2077,1,1,1,2,1,1,1,NA,,2077
2078,terçera,iii°,iii°,iii°,iiii°,iii°,tercera,ø,16,traduction,Non, Non,2078,1,1,1,1,2,1,1,NA,,2078
2079,enel,en,en,en,en,en,en,ø,16,traduction,Non, Non,2079,2,1,1,1,1,1,1,NA,,2079
2080,pueden,pueden,deven,pueden,pueden,pueden,pueden,ø,16,traduction,Oui, Non,2080,1,1,2,1,1,1,1,NA,,2080
2081,redonda,rredonda,redonda,redonda,rredonda,redonda,redonda,ø,16,traduction,Non, Non,2081,2,1,2,2,1,2,2,NA,,2081
2082,Quanto,Quanto,Quanto,Quanto,Quanto,Quando,Quanto,ø,16,traduction,Non, Non,2082,1,1,1,1,1,2,1,NA,,2082
2083,el,el,el,el,el,quel,el,ø,16,traduction,Non, Non,2083,1,1,1,1,1,2,1,NA,,2083
2084,o,o,o,o,e,o,o,ø,16,traduction,Non, Non,2084,2,2,2,2,1,2,2,NA,,2084
2085,ese,ese,ese,esse,este,este,ese,ø,16,traduction,Non, Non,2085,1,1,1,1,2,2,1,NA,,2085
2086,començar,començar,començar,començar,encomençar,començar,començar,ø,16,traduction,Non, Non,2086,2,2,2,2,1,2,2,NA,,2086
2087,fasta,fasta,fasta,fazia,fasta,fasta,fasta,ø,16,traduction,Non, Non,2087,1,1,1,2,1,1,1,NA,,2087
2088,saber,saber,saber,saber,notar,saber,saber,ø,16,glose,Oui, Non,2088,2,2,2,2,1,2,2,NA,,2088
2089,ø,ø,ø,a,en,a,ø,ø,16,glose,Non, Non,2089,0,0,0,2,1,2,0,NA,,2089
2090,almogotes,almogotes,almogotes,almogotes,montes,almogotes,almogotes,ø,16,glose,Oui, Non,2090,2,2,2,2,1,2,2,NA,,2090
2091,e,o,o,e,e,e,e,ø,16,glose,Non, Non,2091,1,2,2,1,1,1,1,NA,,2091
2092,a,vayan,a,a,vayan,a,a,ø,16,glose,Non, Non,2092,2,1,2,2,1,2,2,NA,,2092
2093,cada,toda,cada,cada,toda,cada,cada,ø,16,glose,Non, Non,2093,2,1,2,2,1,2,2,NA,,2093
2094,firme,firme,fyrme,firme,firme,firme,firme,ø,16,glose,Non, Non,2094,1,1,2,1,1,1,1,NA,,2094
2095,deuela,dévela,allá,dévele,dévela,dévele,deuela,ø,16,glose,Non, Non,2095,3,3,2,1,3,1,3,NA,,2095
2096,acorrer,acorrer,corra,acorrer,acorrer,acorrer,acorrer,ø,16,glose,Non, Non,2096,1,1,2,1,1,1,1,NA,,2096
2097,quier,quier,quiera,quier,quier,quier,quier,ø,16,glose,Non, Non,2097,1,1,2,1,1,1,1,NA,,2097
2098,apesgare,apesgara,apesgare,apesgare,apesgare,apesgare,apesgare,ø,16,glose,Non, Non,2098,1,2,1,1,1,1,1,NA,,2098
2099,alli,allí,allá,allí,allí,allý,alli,ø,16,glose,Non, Non,2099,1,1,2,1,1,1,1,NA,,2099
2100,E,que,e,E,que,e,E,ø,16,glose,Non, Non,2100,2,1,2,2,1,2,2,NA,,2100
2101,forma,forma,forma,forma,manera,forma,forma,ø,16,glose,Non, Non,2101,2,2,2,2,1,2,2,NA,,2101
2102,si,sy,si,si,si,sy,sy,ø,16,glose,Non, Non,2102,1,2,1,1,1,2,2,NA,,2102
2103,a,en,a,a,a,a,a,ø,16,glose,Non, Non,2103,1,2,1,1,1,1,1,NA,,2103
2104,sy,sý,sí,sí,sý,sý,sy,ø,16,glose,Non, Non,2104,2,1,1,1,1,1,2,NA,,2104
2105,cuño,commo,cuño,cuño,commo,cuño,cuño,ø,16,glose,Non, Non,2105,2,1,2,2,1,2,2,NA,,2105
2106,aronperlos,ø,arromperlos,ronperlos,rresponderles,ronperlos,ronperlos,ø,16,glose,Non, Non,2106,4,0,1,3,2,3,3,NA,,2106
2107,o,e,o,o,e,o,o,ø,16,glose,Non, Non,2107,2,1,2,2,1,2,2,NA,,2107
2108,a,en,a,a,en,a,a,ø,16,glose,Non, Non,2108,2,1,2,2,1,2,2,NA,,2108
2109,suego,fuego,ø,fuego,ø,fuego,fuego,ø,16,glose,Non, Non,2109,1,2,0,2,0,2,2,NA,,2109
2110,O,e,et,E,e,e,O,ø,16,glose,Non, Non,2110,1,3,2,3,3,3,1,NA,,2110
2111,tomo,commo,tomó,tomó,commo,tomó,tomo,ø,16,glose,Non, Non,2111,1,2,1,1,2,1,1,NA,,2111
2112,por,por,por,por,de,por,por,ø,16,glose,Non, Non,2112,2,2,2,2,1,2,2,NA,,2112
2113,o,o,e,o,o,o,o,ø,16,glose,Non, Non,2113,1,1,2,1,1,1,1,NA,,2113
2114,si,sý,sý,sí,sí,sý,sy,ø,16,glose,Non, Non,2114,1,1,1,1,1,1,2,NA,,2114
2115,de,de,de,de,a,de,de,ø,16,glose,Non, Non,2115,2,2,2,2,1,2,2,NA,,2115
2116,el,el,el,el,quel,quel,el,ø,16,glose,Non, Non,2116,2,2,2,2,1,1,2,NA,,2116
2117,Ca,que,ca,Ca,que,ca,Ca,ø,16,glose,Non, Non,2117,2,1,2,2,1,2,2,NA,,2117
2118,este,ese,este,este,este,éste,este,ø,16,glose,Non, Non,2118,3,2,3,3,3,1,3,NA,,2118
2119,a,o,a,a,o,a,a,ø,16,glose,Non, Non,2119,2,1,2,2,1,2,2,NA,,2119
2120,començar,acometer,començar,començar,acometer,començar,començar,ø,16,glose,Non, Non,2120,2,1,2,2,1,2,2,NA,,2120
2121,leemos,leemos,leemos,leemos,leemos,deximos,leemos,ø,16,glose,Non, Non,2121,1,1,1,1,1,2,1,NA,,2121
2122,xvij,xvii°,xvii°,xviii,xvii,xvii,xvij,ø,17,,Non, Non,2122,2,3,3,1,2,2,2,NA,,2122
2123,com̊,commo,commo,commo,commo,commo,como,ø,17,,Non, Non,2123,3,2,2,2,2,2,1,NA,,2123
2124,deuen,deven,deven,deven,deven,an,deuen,ø,17,,Non, Non,2124,1,1,1,1,1,2,1,NA,,2124
2125,guarnesçer,guarnesçer,guaresçer,guarneçer,guarnesçer,guarneçer,guarneçer,ø,17,,Non, Non,2125,2,2,1,2,2,2,2,NA,,2125
2126,cercadores,çercados,çercadores,çercadores,çercadores,çercados,cercadores,ø,17,,Non, Non,2126,2,1,2,2,2,1,2,NA,,2126
2127,e,e,e,e,e,or,e,ø,17,,Non, Non,2127,1,1,1,1,1,2,1,NA,,2127
2128,como,commo,commo,commo,commo,que,como,ø,17,,Non, Non,2128,2,1,1,1,1,3,2,NA,,2128
2129,deue,deve,deven,deve,deve,reçiban,deue,ø,17,,Non, Non,2129,3,3,1,3,3,2,3,NA,,2129
2130,conbatir,conbatir,conbatir,conbatir,conbatir,daño,conbatir,ø,17,,Non, Non,2130,1,1,1,1,1,2,1,NA,,2130
2131,la,al,la,la,la,los,la,ø,17,,Non, Non,2131,2,3,2,2,2,1,2,NA,,2131
2132,çibdat,çibdat,cibdat,çibdat,çibdat,de,cibdad,ø,17,,Non, Non,2132,1,1,1,1,1,2,1,NA,,2132
2133,ola,o,o,o,o,dentro,o,ø,17,,Non, Non,2133,2,3,3,3,3,1,3,NA,,2133
2134,soterrañas,soterrañas,soterranas,soterrañas,soterrañas,ø,soterrañas,ø,17,,Non, Non,2134,1,1,2,1,1,0,1,NA,,2134
2135,sentençia,señia,sentençia,sentençia,sentençia,sentençia,sentencia,ø,17,traduction,Non, Non,2135,2,1,2,2,2,2,2,NA,,2135
2136,primero,lo,Lo,lo,Lo,Lo,Lo,ø,17,traduction,Non, Non,2136,1,2,2,2,2,2,2,NA,,2136
2137,quando,quando,quanto,quando,quando,quando,quando,ø,17,traduction,Non, Non,2137,1,1,2,1,1,1,1,NA,,2137
2138,e,e,e,e,o,e,e,ø,17,traduction,Non, Non,2138,2,2,2,2,1,2,2,NA,,2138
2139,fazerles,fazerles,fazerles,fazerles,fazer,fazerles,fazerles,ø,17,traduction,Non, Non,2139,2,2,2,2,1,2,2,NA,,2139
2140,o,e,o,o,o,o,o,ø,17,traduction,Non, Non,2140,1,2,1,1,1,1,1,NA,,2140
2141,robandogelas,rrobándogelas,robándogelas,robándogelas,rrobándogelas,robándogelas,robandogelas,ø,17,traduction,Non, Non,2141,1,2,3,3,2,3,1,NA,,2141
2142,muy,muy,muy,muy,muy,mucho,muy,ø,17,traduction,Non, Non,2142,1,1,1,1,1,2,1,NA,,2142
2143,carcauas,carcavas,carcavas,carcavas,carcavas,çercanas,carcauas,ø,17,traduction,Oui, Non,2143,2,2,2,2,2,1,2,NA,,2143
2144,si,sy,si,si,si,sy,si,ø,17,traduction,Non, Non,2144,1,2,1,1,1,2,1,NA,,2144
2145,donde,donde,donde,don,donde,donde,donde,ø,17,traduction,Non, Non,2145,1,1,1,2,1,1,1,NA,,2145
2146,do,Do,do,Do,Do,do,Do,ø,17,traduction,Non, Non,2146,2,1,2,1,1,2,1,NA,,2146
2147,ay,ay,ay,hay,ay,ay,ay,ø,17,traduction,Non, Non,2147,1,1,1,2,1,1,1,NA,,2147
2148,aun,aun,aun,aun,aun,aun,avn,ø,17,traduction,Non, Non,2148,1,1,1,1,1,1,2,NA,,2148
2149,si,sý,sý,sí,sí,sy,sy,ø,17,traduction,Non, Non,2149,2,2,2,2,2,1,1,NA,,2149
2150,torquies,torques,torquíes,torquíes,torques,torques,turquies,ø,17,traduction,Non, Non,2150,3,1,2,2,1,1,2,NA,,2150
2151,arqueros,arqueros,arqueros,arqueros,arqueros,arcos,arqueros,ø,17,traduction,Oui, Non,2151,1,1,1,1,1,2,1,NA,,2151
2152,los,les,los,los,los,los,los,ø,17,traduction,Non, Non,2152,1,2,1,1,1,1,1,NA,,2152
2153,e,e,e,e,o,e,e,ø,17,traduction,Non, Non,2153,2,2,2,2,1,2,2,NA,,2153
2154,con,con,con,con,en,con,con,ø,17,traduction,Non, Non,2154,2,2,2,2,1,2,2,NA,,2154
2155,o,e,o,o,o,o,o,ø,17,traduction,Non, Non,2155,1,2,1,1,1,1,1,NA,,2155
2156,quatro,quatro,quatro,iiii°,quatro,quatro,quatro,ø,17,traduction,Non, Non,2156,1,1,1,2,1,1,1,NA,,2156
2157,otra,otras,otra,otra,otra,otra,segunda,ø,17,traduction,Non, Non,2157,3,1,3,3,3,3,2,NA,,2157
2158,terçera,iii°,iii°,iii°,otra,iii°,tercera,ø,17,traduction,Non, Non,2158,1,1,1,1,2,1,1,NA,,2158
2159,o,o,et,o,o,o,o,ø,17,traduction,Non, Non,2159,1,1,2,1,1,1,1,NA,,2159
2160,cauas,cava,cavas,cavas,cuevas,ø,cauas,ø,17,traduction,Non, Non,2160,1,3,1,1,2,0,1,NA,,2160
2161,tal,tal,al,tal,tal,tal,tal,ø,17,traduction,Non, Non,2161,1,1,2,1,1,1,1,NA,,2161
2162,sostenerlos,sostenerlos,sostenerlos,soponerlos,sotenerlas,soponerlos,sostenerlos,ø,17,traduction,Oui, Non,2162,1,1,1,3,2,3,1,NA,,2162
2163,so,so,en,so,so,so,so,ø,17,traduction,Non, Non,2163,1,1,2,1,1,1,1,NA,,2163
2164,tierra,tierra,çibdat,tierra,tierra,tierra,tierra,ø,17,traduction,Oui, Non,2164,1,1,2,1,1,1,1,NA,,2164
